name	name_fr	item_type	cpv_code	cpv_label	cpv_label_fr	canonical_unit	sector	sector_name	monitoring_tier	identifier_type	identifier_value	issuer
Landscape architectural services	Services d'architecture paysagère	service	71420000	Landscape architectural services	Services d'architecture paysagère	hour	parks_public_realm	Parks and public realm	quote_based
Municipal electricity supply	Électricité	good	09310000	Electricity	Électricité	kwh	utilities_energy	Utilities and energy	web_price
Municipal natural gas supply	Gaz naturel	good	09123000	Natural gas	Gaz naturel	kwh	utilities_energy	Utilities and energy	web_price
Solar photovoltaic module	Modules solaires photovoltaïques	good	09331200	Solar photovoltaic modules	Modules solaires photovoltaïques	each	utilities_energy	Utilities and energy	web_price
LED exterior luminaire	Éclairage extérieur	good	31527200	Exterior lights	Éclairage extérieur	each	utilities_energy	Utilities and energy	web_price
Street-lighting equipment	Équipement d'éclairage public	good	34928500	Street-lighting equipment	Équipement d'éclairage public	each	utilities_energy	Utilities and energy	web_price
Street-lighting maintenance	Services d'entretien de l'éclairage public	service	50232100	Street-lighting maintenance services	Services d'entretien de l'éclairage public	hour	utilities_energy	Utilities and energy	quote_based
Municipal water supply	Distribution d'eau	good	65110000	Water distribution	Distribution d'eau	m3	utilities_energy	Utilities and energy	web_price
Sewerage network management	Service de gestion du réseau d'assainissement	service	90480000	Sewerage management services	Service de gestion du réseau d'assainissement	month	utilities_energy	Utilities and energy	tender_benchmark
Energy management and advisory	Énergie et services connexes	service	71314000	Energy and related services	Énergie et services connexes	hour	utilities_energy	Utilities and energy	quote_based
